no,name,verdict,reason
1,미인증 GET /kmail/org-units → 400 LOGIN_REQUIRED (워커 배포 확인),LIVE-PASS,
2,GET /kmail/org-units (인증 통과·트리 조회),LIVE-PASS,
3,루트 노드 생성,LIVE-PASS,
4,자식 노드 생성(+별칭),LIVE-PASS,
5,손자 노드 생성(3단계),LIVE-PASS,
6,접두어를 공유하는 형제 노드 생성('대학' vs '대학병원'),LIVE-PASS,
7,중복 생성 → 409 UNIT_EXISTS,LIVE-PASS,
8,이름에 '>' → 400 INVALID_NAME,LIVE-PASS,
9,"테스트 연락처 3건 등록(csv-import: created=3, failedCount=0)",LIVE-PASS,
10,테스트 연락처가 PocketBase에 실제 저장됨,LIVE-PASS,
11,assign: a → 학과,LIVE-PASS,
12,assign: b → 대학,LIVE-PASS,
13,assign: c → 대학병원,LIVE-PASS,
14,존재하지 않는 노드로 assign → 404,LIVE-PASS,
15,"GET /kmail/contacts?org_path=대학 → a,b만(형제 '대학병원' 제외)",LIVE-PASS,
16,"GET ?org_path=루트 → a,b,c 전부",LIVE-PASS,
17,"페이지 메타: page=1, totalPages=1, totalItems=3",LIVE-PASS,
18,범위 밖 페이지(page=2) → 200 + 빈 목록,LIVE-PASS,
19,GET ?org_path=대학병원 → c만,LIVE-PASS,
20,"GET ?org_path=__NONE__ → 배정된 a,b,c는 제외",LIVE-PASS,
21,org_path에 '%' → 400 INVALID_ORG_PATH,LIVE-PASS,
22,"트리 건수: T(0,3) C(1,2) G(1,1) S(1,1)",LIVE-PASS,
23,별칭 저장·반환,LIVE-PASS,
24,update: '대학' → '대학교',LIVE-PASS,
25,"PocketBase: a/b 경로 갱신, c(형제) 불변",LIVE-PASS,
26,"새 경로로 조회 → a,b",LIVE-PASS,
27,옛 경로로 조회 → 없음,LIVE-PASS,
28,move: 학과를 '대학병원' 아래로,LIVE-PASS,
29,PocketBase: a 경로가 이동 반영,LIVE-PASS,
30,move: 루트를 자기 하위로 → 400 CYCLE,LIVE-PASS,
31,delete: 하위 있는 루트 → 409 HAS_CHILDREN,LIVE-PASS,
32,delete: 리프(연락처 1건) → 삭제 + 부모로 이동,LIVE-PASS,
33,PocketBase: a가 부모('대학병원') 소속으로,LIVE-PASS,
34,assign unit_id='' → 미분류로 복귀,LIVE-PASS,
35,"resync: 정합 상태에서 pending=0, 노드/연락처 수정 0",LIVE-PASS,
36,정리: 테스트 노드·연락처가 남지 않음,LIVE-PASS,
