no,name,kind,verdict,reason
1,university_law_school,category_classify,LIVE-PASS,
2,university_hospital_not_education,category_classify,LIVE-PASS,
3,city_hall,category_classify,LIVE-PASS,
4,audit_committee,category_classify,LIVE-PASS,
5,research_institute,category_classify,LIVE-PASS,
6,association,category_classify,LIVE-PASS,
7,bank,category_classify,LIVE-PASS,
8,broadcaster,category_classify,LIVE-PASS,
9,embassy,category_classify,LIVE-PASS,
10,no_keyword_match_stays_empty,category_classify,LIVE-PASS,
11,ac_kr_domain_fallback_when_org_empty,category_classify_email_domain,LIVE-PASS,
12,go_kr_domain_fallback_when_org_empty,category_classify_email_domain,LIVE-PASS,
13,csv_import_dedup_within_same_batch,dedup_same_call,LIVE-PASS,
14,csv_import_dedup_across_separate_uploads,dedup_across_calls,LIVE-PASS,
15,csv_import_dedup_ignores_email_case,dedup_case_insensitive,LIVE-PASS,
16,propose_endpoint_dedup_regression_guard,propose_dedup,LIVE-PASS,
17,category_counts_reflects_new_contact_immediately,category_counts_delta,LIVE-PASS,
18,mailbox_get_accepts_phone_verify_token,auth_phone_token_mailbox,LIVE-PASS,
19,drafts_get_accepts_phone_verify_token,auth_phone_token_drafts,LIVE-PASS,
20,message_state_get_accepts_phone_verify_token,auth_phone_token_message_state,LIVE-PASS,
